ZipCode,City,State,Latitude,Longitude,Classification,Population
"01529","MILLVILLE","MA","42.0395","-71.5773","","3174"
"01531","NEW BRAINTREE","MA","42.3205","-72.1295","","996"
"01532","NORTHBOROUGH","MA","42.3301","-71.6352","","15741"
"01534","NORTHBRIDGE","MA","42.1362","-71.6427","","6233"
"01535","NORTH BROOKFIELD","MA","42.2689","-72.0829","","4735"
"01536","NORTH GRAFTON","MA","42.2248","-71.6893","","7514"
"01537","NORTH OXFORD","MA","42.1629","-71.8912","","2141"
"01538","NORTH UXBRIDGE","MA","42.0878","-71.6417","P","0"
"01540","OXFORD","MA","42.1215","-71.8540","","11032"
"01541","PRINCETON","MA","42.4569","-71.8908","","3495"
"01542","ROCHDALE","MA","42.2013","-71.9108","","2366"
"01543","RUTLAND","MA","42.3831","-71.9616","","9049"
"01545","SHREWSBURY","MA","42.2868","-71.7136","","38316"
"01546","SHREWSBURY","MA","42.2959","-71.7134","U","0"
"01550","SOUTHBRIDGE","MA","42.0676","-72.0440","","17740"
"01560","SOUTH GRAFTON","MA","42.1748","-71.6798","","4896"
"01561","SOUTH LANCASTER","MA","42.4444","-71.6876","P","64"
"01562","SPENCER","MA","42.2480","-71.9907","","11992"
"01564","STERLING","MA","42.4393","-71.7766","","7985"
"01566","STURBRIDGE","MA","42.1016","-72.0798","","6691"
"01568","UPTON","MA","42.1761","-71.6045","","7900"
"01569","UXBRIDGE","MA","42.0625","-71.6437","","14193"
"01570","WEBSTER","MA","42.0582","-71.8481","","17776"
"01571","DUDLEY","MA","42.0597","-71.9368","","11921"
"01581","WESTBOROUGH","MA","42.2662","-71.6092","","21567"
"01583","WEST BOYLSTON","MA","42.3591","-71.7824","","7652"
"01585","WEST BROOKFIELD","MA","42.2276","-72.1646","","4899"
"01586","WEST MILLBURY","MA","42.1756","-71.8027","P","0"
"01588","WHITINSVILLE","MA","42.1257","-71.6641","","10106"
"01590","SUTTON","MA","42.1354","-71.7558","","9279"
"01601","WORCESTER","MA","42.2627","-71.8028","P","0"
"01602","WORCESTER","MA","42.2744","-71.8478","","25382"
"01603","WORCESTER","MA","42.2447","-71.8448","","22417"
"01604","WORCESTER","MA","42.2492","-71.7649","","41301"
"01605","WORCESTER","MA","42.2889","-71.7958","","29218"
"01606","WORCESTER","MA","42.3133","-71.7963","","21651"
"01607","WORCESTER","MA","42.2254","-71.7872","","9378"
"01608","WORCESTER","MA","42.2586","-71.8030","","4996"
"01609","WORCESTER","MA","42.2876","-71.8307","","23870"
"01610","WORCESTER","MA","42.2426","-71.8104","","28717"
"01611","CHERRY VALLEY","MA","42.2352","-71.8769","","2277"
"01612","PAXTON","MA","42.3152","-71.9345","","5051"
"01613","WORCESTER","MA","42.2627","-71.8028","P","0"
"01614","WORCESTER","MA","42.2627","-71.8028","P","0"
"01615","WORCESTER","MA","42.2627","-71.8028","P","0"
"01653","WORCESTER","MA","42.2923","-71.7829","U","0"
"01655","WORCESTER","MA","42.2777","-71.7618","","0"
"01701","FRAMINGHAM","MA","42.3232","-71.4352","","33005"
